product,category,url,ingredients,Synthetic Fluorphlogopite,Lanolin,Vanilla,Glycol Cetearate,Grapefruit Water,Oudh,Linalool,Ground White Rice,Olibanum,Coconut Cream,Myrrh Resinoid,Icing Sugar,Mint,Marigold Petals,Cassis,Silken Tofu,Hexyl Cinnamal,Styrax Resinoid,Guar Gum,Cocamidopropyl Betaine,Apricot Kernel,Oak Moss Extract,Xanthan Gum,Aubergine,Glycerine,Popping Candy,Marigold Powder,Banana and Oat Decoction,Sodium Coco Sulfate,Strawberry Juice,Blackcurrant,Candy Flower,Coriander Seed,Cedarwood,Sodium Carbonate,Oregano,Cocoa Butter,Vine Leaves,Violet Leaf,Ground Aduki Beans,Avocado,Extra Virgin Olive,Orange Juice,Grapefruit,Cream of Tartar,Sodium Chloride,Olive,Sodium Bicarbonate,Stearic Acid,Mimosa,Lemon Juice,Neroli,Walnut,Carrageenan Extract,Potato Starch,Calcium Sodium Borosilicate,Peach Kernel,Citral,Bergamot,Manuka Honey,Benzyl Salicylate,Castor,Almond Milk,Murumuru Butter,Sand,Cassia,Tangerine,Litsea Cubeba,Propylene Glycol,DRF Alcohol,Benzoin Resinoid,German Chamomile Flowers,Cistus,Green Olives,Tea Tree,English Honey,Cupuaçu Butter,Vine Leaf,Sodium Laureth Sulfate,Pear,Oregano and Rose Petal,Cetearyl Alcohol,Pioppino Mushrooms,Jasmine Flower,Yellow and Red Rose Petals,Sodium carboxymethyl cellulose,Petitgrain,Propylparaben,Gardenia Extract,Japanese Rapeseed,Fine Oatmeal,Sweet Wild Orange,Pakistani Rose,Chamomile,Ground Coconut Shell,Lemongrass,Sunflower Wax,Tin Oxide,Balanites,Lotus Root,Vanilla Pod,Soybean Flour,Arame Seaweed,Lemon Myrtle,Whole Clove,Sage,Chamomile Blue,Green Tea Powder,Lime,Oat Milk,Lime Juice,Calcium Lactate Gluconate,Rosemary,Roman Chamomile,Chlorophyllin,Rapeseed,Citric Acid,Benzyl Alcohol,Tonka,Honey,Tarragon,Dipropylene Glycol,Sodium Alginate,Rosewood,Fig Decoction,Glyceryl stearate,Frankincense Resinoid,Cardamom,Farnesol,Lauryl Betaine,Luminescent Zinc Sulfide,Triethanolamine,Cowslips,Maltodextrin,Citronellol,Eugenol,Talc,Vetivert,Menthol Crystals,Sea Salt,Thyme,Siberian Fir Needle,Davana,Fir Needle,Elemi,Brazilian Orange,Cinnamon Leaf,Sodium polyacrylate,Dried Currants,Epsom Salt,Kinako Powder,Dragon Fruit Powder,Aniseed,Sicilian Lemon,Rice Paper,Benzyl Cinnamate,Alpha-Isomethyl Ionone,Coumarin,Orange Peel Wax,Sodium Stearate,Australian Sandalwood,Jasmine,Avocado Butter,Coconut Flour,Candy Eyes,Blackberry Puree,Mandarin Juice,Titanium Dioxide,Tincture of Benzoin,Granulated Sugar,Lemon Peel,Carnauba Wax,Pink Pepper,Orange Flower,Powdered Charcoal,Pink Grapefruit infusion,Methylparaben,Lemon,Tagetes,Coriander,Turmeric Powder,Agar Agar Strands,Cinnamal,Black Peppercorn,Argan,Apple Pulp,Oat Flour,Rice Bran,Spearmint,Almond,Ylang Ylang,Strawberry Powder,Ground Almonds,Cocoa Powder,Lavandin,Chia Seeds,Lime Extracted in Vodka,Cocoa,Rose Water,Geranium,Aloe Vera Extract,Agave Syrup,Goji Berry Juice,Kaolin,Blackcurrant Powder,Grapefruit Juice,Clary Sage,Peach Juice,Soya Milk,Lime Puree,Hydroxycitronellal,Black Pepper,Clove Bud,Honey Water,Poppy Seeds,Peach,Pine,Daisy Flowers,Sandalwood,Sicilian Red Mandarin,Labdanum Resinoid,Mango Butter,Cinnamyl Alcohol,Olibanum Resinoid,Synthetic Musk,Laureth 4,Elderflowers,Raspberries,Lavender Sprig,Cypress,Lavender Flowers,Extra Virgin Coconut,Shea Butter,Whole Oats,Rhubarb Puree,Coconut Milk Powder,Butylphenyl Methylpropional,Marshmallow Root Powder,Chamomile Powder,Perfume,Dried Apricots,Wheatgerm,Jojoba,Lavender,Olive Leaf,Osmanthus,Buchu,Tetrasodium Etidronate,Moroccan Chamomile,Limonene,Seaweed,Disodium Lauryl Sulfosuccinate,EDTA,Juniperberry,Lavender Flower,Sodium Hydroxide,Sodium Lauryl Sulfate,Amyl Cinnamal,Eucalyptus,Dried Cranberries,Lactic Acid,Water,Tolu Balsam,Ginger,Silica,Amaranth Flowers,Aloe Vera Gel,Sodium Cocoamphoacetate,Makrut Lime Leaf,Rice Paper Flower,Chrysanthemum,Dried Elderflower,Geraniol,Benzyl Benzoate,Patchouli,Hydroxy propyl methyl cellulose,Peppermint,Cypress Leaf,Ho Wood,White Tea,Pink Delphinium Petals,Cornstarch,Rose,Raspberry Juice,Ground Rice,White Sugar Crystals
Big Blue,bath-bombs,https://uk.lush.com/products/bath-bombs/big-blue,"{'Sea Salt', 'Eugenol', 'Lemon', 'Linalool', 'Citric Acid', 'Arame Seaweed', 'Perfume', 'Geraniol', 'Sodium Bicarbonate', 'Dipropylene Glycol', 'Seaweed', 'Lavender', 'Limonene'}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Bottle Of Calm,bubble-bars,https://uk.lush.com/products/bubble-bars/big-bottle-of-calm-bubble-bath,"{'Synthetic Fluorphlogopite', 'Cinnamal', 'Linalool', 'Cream of Tartar', 'Geraniol', 'Benzyl Benzoate', 'Glycerine', 'Perfume', 'Tin Oxide', 'Titanium Dioxide', 'Lauryl Betaine', 'Sodium Laureth Sulfate', 'Roman Chamomile', 'Lavender', 'Benzyl Cinnamate', 'Sodium Carbonate', 'Tonka', 'Benzoin Resinoid', 'Chamomile Blue', 'Coumarin', 'Limonene'}",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Rose,bath-bombs,https://uk.lush.com/products/bath-bombs/black-rose,"{'Synthetic Fluorphlogopite', 'Cocamidopropyl Betaine', 'Pakistani Rose', 'Geranium', 'Cream of Tartar', 'Geraniol', 'Sodium Bicarbonate', 'Dipropylene Glycol', 'Laureth 4', 'Water', 'Tin Oxide', 'Perfume', 'Titanium Dioxide', 'Calcium Sodium Borosilicate', 'Sodium Coco Sulfate', 'Cornstarch', 'Sicilian Lemon', 'Propylene Glycol', 'Rose', 'Citronellol', 'Citric Acid', 'Cocoa Butter', 'Coumarin', 'Limonene'}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Blackberry,bath-bombs,https://uk.lush.com/products/bath-bombs/blackberry,"{'Citric Acid', 'Bergamot', 'Butylphenyl Methylpropional', 'Sodium Bicarbonate', 'Olibanum', 'Hexyl Cinnamal', 'Water', 'Perfume', 'Limonene'}",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Gardenia Salt Cube,bath-bombs,https://uk.lush.com/products/all-bath-shower/blue-gardenia-salt-cube,"{'Sea Salt', 'Citric Acid', 'Perfume', 'Sodium Bicarbonate', 'Water', 'Lavender', 'Maltodextrin', 'Sicilian Lemon', 'Epsom Salt', 'Limonene'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Skies and Fluffy White Clouds,bubble-bars,https://uk.lush.com/products/bubble-bars/blue-skies-and-fluffy-white-clouds,"{'Eugenol', 'Lauryl Betaine', 'Sodium Laureth Sulfate', 'Cream of Tartar', 'Sodium Bicarbonate', 'Cinnamon Leaf', 'Patchouli', 'Perfume', 'Amyl Cinnamal', 'Frankincense Resinoid', 'Cornstarch', 'Limonene'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bohemian,handmade-soap,https://uk.lush.com/products/soaps/bohemian,"{'Lemon', 'Citral', 'EDTA', 'Sodium Chloride', 'Sodium Hydroxide', 'Tetrasodium Etidronate', 'Glycerine', 'Water', 'Perfume', 'Propylene Glycol', 'Limonene'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brightside,bubble-bars,https://uk.lush.com/products/bubble-bars/brightside,"{'Linalool', 'Tangerine', 'Lauryl Betaine', 'Sodium Laureth Sulfate', 'Cream of Tartar', 'Gardenia Extract', 'Bergamot', 'Sodium Bicarbonate', 'Perfume', 'Sicilian Red Mandarin', 'Limonene'}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubble Bubble Toil and Trouble,bubble-bars,https://uk.lush.com/products/bubble-bars/bubble-bubble-toil-and-trouble-bubble-bath,"{'Benzyl Salicylate', 'Lauryl Betaine', 'Luminescent Zinc Sulfide', 'Sodium Laureth Sulfate', 'Cream of Tartar', 'Guar Gum', 'Citral', 'Linalool', 'Neroli', 'Sodium Bicarbonate', 'Lime', 'Olibanum', 'Alpha-Isomethyl Ionone', 'Hydroxycitronellal', 'Perfume', 'Cocoa Butter', 'Popping Candy', 'Limonene'}",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffy,body-scrubs,https://uk.lush.com/products/body-scrubs/buffy,"{'Ground Aduki Beans', 'Lemon', 'Linalool', 'Citral', 'Shea Butter', 'Lavender', 'Ground Almonds', 'Perfume', 'Ground Rice', 'Cocoa Butter', 'Limonene'}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Butterball,bath-bombs,https://uk.lush.com/products/bath-bombs/butterball,"{'Ylang Ylang', 'Citric Acid', 'Sodium Bicarbonate', 'Synthetic Musk', 'Perfume', 'Cocoa Butter'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calavera,bath-bombs,https://uk.lush.com/products/bath-bombs/calavera,"{'Benzyl Salicylate', 'Linalool', 'Citral', 'Granulated Sugar', 'Citric Acid', 'Olibanum Resinoid', 'Cream of Tartar', 'Cocamidopropyl Betaine', 'Perfume', 'Sodium Coco Sulfate', 'Sodium Bicarbonate', 'Lime', 'Neroli', 'Alpha-Isomethyl Ionone', 'Marigold Petals', 'Dipropylene Glycol', 'Water', 'Hydroxycitronellal', 'Propylene Glycol', 'Limonene'}",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceridwen's Cauldron,bath-oils,https://uk.lush.com/products/bath-shower/ceridwens-cauldron,"{'Farnesol', 'Linalool', 'Tangerine', 'Perfume', 'Daisy Flowers', 'Cowslips', 'Whole Oats', 'Laureth 4', 'Elderflowers', 'Sandalwood', 'Lavender', 'Frankincense Resinoid', 'Cocoa Butter', 'Rose', 'Walnut', 'Limonene'}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Clean &amp; Calm,handmade-soap,https://uk.lush.com/products/hand-care/clean-calm,set(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean &amp; Fresh As,handmade-soap,https://uk.lush.com/products/hand-care/clean-fresh,set(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
